codusu,ano4,trimestre,region,aglomerado,fecha_nacimiento,edad,asistencia_educacion,nivel_ed,tipo_establecimiento,codigo_actividad,sexo,categoria_ocupacion,cat_cantidad_empleos,alfabetismo,salario,horas_trabajadas,educacion,experiencia_potencial,salario_horario
TQRMNOSUQHJNLMCDEHGHJ00784141,2023,3,Patagonia,20,03/05/2001,22,asiste actualmente,"Secundaria
Incompleta",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,95000,40,11,6,593.75
TQRMNOTPPHMNKMCDEIJAH00812589,2023,3,Gran Buenos Aires,33,12/05/1986,37,asistio,"Secundaria
Completa",Privada,5601,Varon,Obrero o empleado,unico,Sabe leer y escribir,170000,48,13,19,885.4166666666666
TQRMNOQQRHJNKUCDEHNHB00784861,2023,3,Cuyo,27,12/06/1978,45,asistio,"Primaria
Incompleta",Privada,102,Varon,Obrero o empleado,unico,Sabe leer y escribir,100000,48,3,37,520.8333333333334
TQRMNOPRTHMMLPCDEFPCH00809561,2023,3,Patagonia,9,12/03/1967,56,asistio,"Superior
Universitaria
Completa",Privada,5300,Mujer,Cuenta propia,unico,Sabe leer y escribir,250000,40,19,32,1562.5
TQRMNOTYRHKOMLCDEHPJB00790878,2023,3,Noroeste,29,01/01/1992,31,asistio,"Secundaria
Completa",Privada,4803,Varon,Obrero o empleado,unico,Sabe leer y escribir,160000,66,13,13,606.060606060606
TQRMNORWRHMMNPCDEIIAD00812054,2023,3,Gran Buenos Aires,32,01/01/1900,23,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,280000,40,13,5,1750
TQRMNORTRHMLKSCDEFMDB00809156,2023,3,Pampeana,6,01/01/1900,62,asistio,"Secundaria
Incompleta",Privada,5601,Varon,Cuenta propia,unico,Sabe leer y escribir,70000,25,12,45,700
TQRMNORYWHLLKRCDEFOCD00804370,2023,3,Noreste,8,03/02/1980,43,asistio,"Secundaria
Completa",Privada,6400,Varon,Obrero o empleado,unico,Sabe leer y escribir,180000,44,13,25,1022.7272727272727
TQRMNOURXHMMKNCDEIJAH00812505,2023,3,Gran Buenos Aires,33,17/07/2006,17,asiste actualmente,"Secundaria
Incompleta",Privada,5601,Varon,Obrero o empleado,unico,Sabe leer y escribir,35000,12,12,0,729.1666666666666
TQRMNORWUHMOLOCDEFOCD00809493,2023,3,Noreste,8,30/09/2000,23,asistio,"Secundaria
Incompleta",Privada,5601,Varon,Obrero o empleado,unico,Sabe leer y escribir,50000,56,10,8,223.21428571428572
TQRMNOSPQHJNLTCDEHJGH00784441,2023,3,Noroeste,23,06/04/1975,48,asistio,"Secundaria
Incompleta",Privada,4803,Varon,Obrero o empleado,unico,Sabe leer y escribir,160000,44,8,35,909.0909090909091
TQRMNOQRYHMOMMCDEHJGH00810984,2023,3,Noroeste,23,09/09/1956,66,asistio,"Secundaria
Incompleta",Privada,4803,Varon,Obrero o empleado,unico,Sabe leer y escribir,80000,48,11,50,416.6666666666667
TQRMNOSQXHKKKTCDEHMHF00790577,2023,3,Cuyo,26,07/09/1985,38,asistio,"Superior
Universitaria
Completa",Estatal,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,490000,57,19,14,2149.122807017544
TQRMNOSSXHMOKNCDEFLID00809037,2023,3,Pampeana,5,21/02/2002,21,asistio,"Secundaria
Completa",Privada,5601,Mujer,Obrero o empleado,unico,Sabe leer y escribir,40000,16,13,3,625
TQRMNOSRWHJLKQCDEFOCD00782789,2023,3,Noreste,8,15/01/1974,49,asistio,"Superior
Universitaria
Incompleta",Privada,4803,Varon,Cuenta propia,unico,Sabe leer y escribir,100000,70,17,27,357.14285714285717
TQRMNORSUHJMLMCDEFNFF00782546,2023,3,Noreste,7,07/11/1975,47,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,320000,30,13,29,2666.6666666666665
TQRMNOPVVHKLKMCDEGGFB00809711,2023,3,Cuyo,10,01/01/1900,44,asistio,"Superior
Universitaria
Completa",Privada,9302,Mujer,Patron,multiples,Sabe leer y escribir,850000,28,19,20,7589.285714285715
TQRMNOSYSHKMNRCDEIIAD00791461,2023,3,Gran Buenos Aires,32,26/12/1974,48,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,300000,40,16,27,1875
TQRMNOSUTHKLKQCDEHJGH00790288,2023,3,Noroeste,23,25/05/1968,55,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,160000,25,13,37,1600
TQRMNORPWHMMLPCDEGPDJ00810700,2023,3,Noroeste,19,04/05/1980,43,asistio,"Superior
Universitaria
Incompleta",Privada,9609,Mujer,Cuenta propia,multiples,Sabe leer y escribir,74000,37,14,24,500
TQRMNOPWVHKKLPCDEGOIH00789777,2023,3,Noroeste,18,11/02/1988,35,asistio,"Superior
Universitaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,200000,56,16,14,892.8571428571429
TQRMNOSRUHKOLNCDEFLID00787778,2023,3,Pampeana,5,16/10/1971,52,asistio,"Primaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,24000,6,8,39,1000
TQRMNOPWTHMMLLCDEGOIH00810579,2023,3,Noroeste,18,28/10/1996,26,asistio,"Superior
Universitaria
Completa",Privada,8600,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,119991,29,19,2,1034.405172413793
TQRMNOSVXHKOKQCDEGOIH00789679,2023,3,Noroeste,18,09/08/1969,54,asistio,"Primaria
Completa",Privada,4805,Varon,Obrero o empleado,unico,Sabe leer y escribir,170000,72,8,41,590.2777777777778
TQRMNOSYUHLOLMCDEFMDB00804101,2023,3,Pampeana,6,01/01/1900,29,asistio,"Secundaria
Completa",Privada,4803,Varon,Obrero o empleado,unico,Sabe leer y escribir,280000,40,13,11,1750
TQRMNORTTHMOTOCDEIJAH00812465,2023,3,Gran Buenos Aires,33,27/02/1981,42,asistio,"Primaria
Completa",Privada,4000,Varon,Cuenta propia,unico,Sabe leer y escribir,140000,8,8,29,4375
TQRMNOWRXHKOLMCDEHLEH00790382,2023,3,Noroeste,25,01/01/1900,53,asistio,"Primaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,80000,25,8,40,800
TQRMNOQPTHLKPLCDEIJAH00807750,2023,3,Gran Buenos Aires,33,01/08/1939,84,asistio,"Superior
Universitaria
Completa",Privada,8600,Mujer,Cuenta propia,unico,Sabe leer y escribir,65000,26,23,56,625
TQRMNOQVPHMOKPCDEHLEH00811096,2023,3,Noroeste,25,01/01/1900,31,asistio,"Secundaria
Completa",Privada,8000,Varon,Obrero o empleado,unico,Sabe leer y escribir,120000,36,13,13,833.3333333333334
TQRMNOSUWHJOKTCDEIOAH00786949,2023,3,Pampeana,38,07/10/1976,46,asistio,"Secundaria
Completa",Privada,2500,Varon,Obrero o empleado,unico,Sabe leer y escribir,170000,50,13,28,850
TQRMNOTUXHMMKUCDEHMHF00811264,2023,3,Cuyo,26,10/10/1986,36,asistio,"Superior
Universitaria
Completa",Estatal,8501,Varon,Obrero o empleado,unico,Sabe leer y escribir,550000,40,19,12,3437.5
TQRMNOPRPHKOKTCDEFJAH00787453,2023,3,Pampeana,3,29/09/1980,42,asistio,"Primaria
Completa",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,120000,44,8,29,681.8181818181819
TQRMNOPTTHJMLOCDEHJGH00784486,2023,3,Noroeste,23,06/02/1992,31,asistio,"Secundaria
Completa",Privada,5601,Mujer,Obrero o empleado,unico,Sabe leer y escribir,100000,32,13,13,781.25
TQRMNOQYTHKMKNCDEFNFF00788111,2023,3,Noreste,7,09/08/1983,39,asistio,"Secundaria
Incompleta",Estatal,8600,Varon,Obrero o empleado,multiples,Sabe leer y escribir,230000,44,10,24,1306.8181818181818
TQRMNOQXYHKOLNCDEFLID00787771,2023,3,Pampeana,5,28/09/1963,59,asistio,"Secundaria
Incompleta",Privada,9700,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,7991,11,9,45,181.61363636363637
TQRMNOTRTHMOKMCDEFOCD00809435,2023,3,Noreste,8,22/10/1967,55,asistio,"Superior
Universitaria
Completa",Privada,8501,Varon,Obrero o empleado,unico,Sabe leer y escribir,300000,48,19,31,1562.5
TQRMNOQTRHJOKRCDEHPJB00784873,2023,3,Noroeste,29,02/09/2004,18,asistio,"Secundaria
Incompleta",Privada,4803,Varon,Cuenta propia,unico,Sabe leer y escribir,20000,21,9,4,238.0952380952381
TQRMNOPVPHKNKMCDEGJBF00789084,2023,3,Pampeana,13,09/01/1981,42,asistio,"Primaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,48000,12,8,29,1000
TQRMNORSRHJOLOCDEGPDJ00784018,2023,3,Noroeste,19,08/06/1999,24,asistio,"Secundaria
Completa",Privada,5601,Mujer,Obrero o empleado,unico,Sabe leer y escribir,98000,56,13,6,437.5
TQRMNOTTPHJOLLCDEGPDJ00783980,2023,3,Noroeste,19,10/04/1996,27,asistio,"Superior
Universitaria
Incompleta",Privada,4807,Varon,Obrero o empleado,unico,Sabe leer y escribir,180000,36,13,9,1250
TQRMNORPPHKOLOCDEFPCH00794182,2023,3,Patagonia,9,31/03/1942,81,asistio,"Primaria
Incompleta",Privada,2309,Varon,Cuenta propia,unico,Sabe leer y escribir,300000,24,2,74,3125
TQRMNORWSHJMKSCDEGPDJ00784027,2023,3,Noroeste,19,30/09/1992,30,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,45000,25,13,12,450
TQRMNOQRXHKMLOCDEHLEH00790365,2023,3,Noroeste,25,01/01/1900,25,asistio,"Secundaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,45000,20,13,7,562.5
TQRMNORUSHJOMNCDEGJBF00783347,2023,3,Pampeana,13,02/05/1998,25,asistio,"Secundaria
Incompleta",Privada,9503,Varon,Obrero o empleado,unico,Sabe leer y escribir,60000,32,11,9,468.75
TQRMNOQXTHMLLOCDEIKAH00812873,2023,3,Pampeana,34,29/05/2002,21,asistio,"Secundaria
Completa",Privada,5601,Varon,Obrero o empleado,unico,Sabe leer y escribir,80000,36,13,3,555.5555555555555
TQRMNOSUTHMOLLCDEHPJB00811474,2023,3,Noroeste,29,15/08/1959,64,asistio,"Superior
Universitaria
Completa",Privada,9503,Mujer,Cuenta propia,unico,Sabe leer y escribir,10000,12,16,43,208.33333333333334
TQRMNOUXUHKMKPCDEFPCH00809511,2023,3,Patagonia,9,07/10/1960,62,asistio,"Secundaria
Incompleta",Privada,4903,Varon,Cuenta propia,unico,Sabe leer y escribir,25000,84,8,49,74.4047619047619
TQRMNOTTPHJORSCDEIJAH00785950,2023,3,Gran Buenos Aires,33,02/08/1987,36,asistio,"Secundaria
Completa",Privada,4804,Mujer,Obrero o empleado,unico,Sabe leer y escribir,8000,9,13,18,222.22222222222223
